Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Israel,ISR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,16319.16675,15732.27505,16991.76947,16658.44405,15038.05571,15443.73205,16270.89193,17189.66135,18447.94926,21164.19822,24716.15475,23048.34942,25927.10133,28578.6368,27215.19581,30759.22176,32491.88684,30772.05165,32042.80301,34994.60994,36077.16351,37638.05315,..
Israel,ISR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.2,6.1,6,5.8,5.8,5.8,5.6,5.6,5.5,5.6,5.4,5.2,5.2,5.3,5.3,5.2,5.2,5.3,5.2,5.2,5,5.1,..
Israel,ISR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,Gross domestic savings (current US$),NY.GDS.TOTL.CD,23919628957,24724330024,30143557747,26331145113,21693127401,23870958916,26888206158,29158273949,31872823960,36693862613,42337336678,43479923200,48628611852,54693202300,54798865892,64178789774,68609789193,69359740663,73089537655,80689038443,82969452233,91669951785,..
Israel,ISR,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,102.8434729,102.7664018,100.3686207,102.621349,103.1519087,101.0436125,100.1091573,100.2060008,99.93034637,100.9789093,100.7432421,97.51569808,98.1001162,99.99952018,100.0053899,98.14795717,98.43030534,96.8121835,98.18346364,98.63614138,99.31803213,98.12887341,..
Italy,ITA,Population growth (annual %),SP.POP.GROW,0.028774016,0.016820844,0.045303631,0.056167601,0.148916429,0.444507313,0.647182705,0.491389108,0.300559689,0.504933687,0.662469253,0.45561345,0.307591222,0.171978291,0.26954124,1.159251117,0.917504096,-0.096376133,-0.169884073,-0.149861117,-0.19006364,-0.198249205,..
Italy,ITA,"Population, total",SP.POP.TOTL,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,60302093,..
Italy,ITA,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,18.9,19.2,19.3,19.5,18.9,18.4,18.7,19.8,19.5,19.3,19.4,19.9,20.6,20.3,20.3,20.1,..,..
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.97560976,79.42439024,79.77804878,80.12682927,80.22926829,79.98292683,80.7804878,80.78292683,81.28292683,81.43414634,81.48536585,81.63658537,82.03658537,82.18780488,82.23902439,82.6902439,83.0902439,82.54390244,83.24390244,82.94634146,83.34634146,83.19756098,..
Italy,ITA,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,81.68914795,..,82.84947968,83.02799225,83.39746857,86.65119171,88.77046967,89.3557663,89.26924896,88.14724731,88.93183136,91.02822876,91.71079254,90.91516876,90.75739288,84.99062347,90.80934906,90.43708801,92.87084961,93.68730927,..,..,..
Italy,ITA,"School enrollment, primary (% net)",SE.PRM.NENR,..,98.83035,98.4748,98.66252,98.59154,98.44817,98.64055,98.408,98.39118,98.43845,98.24087,97.61927,97.63938,97.18455,97.42164,97.81952,97.13266,96.56912,96.00704,95.65574,..,..,..
Italy,ITA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,18943.67959,18730.66588,17038.98528,17378.23203,18791.95226,23138.18525,26385.08138,27050.41056,28308.55095,31792.76563,33666.14393,30590.75665,29580.79247,31631.01006,28560.67078,28932.66372,29020.79553,24525.62464,25533.52,26863.25669,28888.05341,27630.00533,..
Italy,ITA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10,9.8,9.8,9.6,9.8,10.2,9.5,9.8,9.6,9.8,9.9,10,9.9,10,10.3,10,9.8,10.7,10.1,10.7,10.5,10.5,..
Italy,ITA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,98.41661835,..,..,..,..,..,..,..,..,..,98.84828186,..,..,..,..,..,..,99.15576172,..,..
Italy,ITA,Gross domestic savings (current US$),NY.GDS.TOTL.CD,2.89161E+11,2.75618E+11,2.48376E+11,2.57987E+11,2.83728E+11,3.40565E+11,3.94037E+11,3.9139E+11,4.1172E+11,4.84201E+11,5.04028E+11,4.13889E+11,3.99525E+11,4.37025E+11,3.94317E+11,4.13088E+11,4.2869E+11,3.69402E+11,3.91089E+11,4.10356E+11,4.37332E+11,4.23458E+11,..
Italy,ITA,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,96.96683365,98.21931593,99.15012562,98.73678129,99.24298962,99.54445895,99.41067355,100.098826,100.8212023,100.3393773,100.7673264,100.6204447,101.8580825,101.4005895,98.89623517,97.60109324,97.10446492,96.98621746,96.71182132,97.13671507,97.60958827,96.94856871,..
Jamaica,JAM,Population growth (annual %),SP.POP.GROW,0.961224966,0.908211223,0.83315911,0.750594162,0.676028327,0.614260869,0.573306846,0.54850826,0.524315914,0.500486864,0.491847719,0.500600485,0.521664591,0.548898908,0.571731466,0.581564956,0.572985316,0.550974945,0.524973438,0.50162356,0.47823514,0.456356197,..
Jamaica,JAM,"Population, total",SP.POP.TOTL,2608873,2632675,2654701,2674702,2692845,2709437,2725015,2740003,2754407,2768227,2781876,2795837,2810460,2825929,2842132,2858709,2875136,2891021,2906238,2920853,2934855,2948279,..
Jamaica,JAM,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,15.9,16.9,18.7,16.9,19.7,19.1,16.9,14.8,14.3,9.9,12.3,16.5,17.6,..,19.9,..,..,..,..,..,..,..,..
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.164,74.152,74.142,74.139,74.14,74.142,74.146,74.148,74.143,74.129,74.103,74.071,74.038,74.012,74.001,74.01,74.042,74.098,74.175,74.267,74.368,74.475,..
Jamaica,JAM,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,..,..,..,..,84.73111725,..,99.35404968,99.68119049,..,..,100,100,..,95.51692963,99.22306061,..,98.14045715,98.2821579,95.78749084,95.29931641,98.08551025,99.51544952,..
Jamaica,JAM,"School enrollment, primary (% net)",SE.PRM.NENR,..,90.09004,91.57529,91.40376,91.06873,89.77681,91.53535,..,..,..,..,..,..,..,..,..,..,84.96535,84.05713,82.51691,81.0188,..,..
Jamaica,JAM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2983.378719,2954.771524,2979.672345,3002.270173,3103.263616,3001.995151,3228.951774,3529.727122,3750.243257,3994.904629,4318.924573,3741.597404,4141.951391,4515.162092,4724.655768,4471.63924,4341.887649,4363.532281,4257.046226,4540.050439,4748.052524,5040.15767,..
Jamaica,JAM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.327,6.415,6.52,6.632,6.743,6.844,6.931,7.005,7.068,7.127,7.187,7.249,7.31,7.368,7.42,7.463,7.497,7.523,7.542,7.558,7.573,7.591,..
Jamaica,JAM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,79.92012024,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.09999847,..,..,..,..,..,..
Jamaica,JAM,Gross domestic savings (current US$),NY.GDS.TOTL.CD,1313751705,1337015306,1036049211,1120003131,1070557400,1067856580,1245089645,787178050.3,947236169.4,612352259.4,-732116300.7,379411132.3,258692762.6,-238085536.2,-257566777.6,-120958705.3,33641473.12,720476567.5,1189687837,1231091436,1606879721,1682976589,..
Jamaica,JAM,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,107.609007,106.1585327,111.9329147,113.6994205,116.3226403,114.9238765,114.2300546,119.9414231,120.4826758,121.7870402,129.6907897,117.9259319,118.2497803,123.0845924,121.6726554,122.1103766,122.2340126,116.2756126,112.8293912,114.2212483,113.1107243,113.1107243,..
Japan,JPN,Population growth (annual %),SP.POP.GROW,0.27172961,0.182586374,0.167275578,0.240952588,0.232527187,0.213980949,0.033662258,0.009392097,0.063373589,0.114908848,0.048425395,-0.012494631,0.017960542,-0.185226486,-0.159710676,-0.144271883,-0.132694222,-0.106124994,-0.115284177,-0.164484036,-0.202670345,-0.208999473,..
Japan,JPN,"Population, total",SP.POP.TOTL,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511,126785797,126529100,126264931,..
Japan,JPN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.50146341,80.57073171,81.07609756,81.41707317,81.56341463,81.76,82.0302439,81.92512195,82.32195122,82.50707317,82.58756098,82.93146341,82.84268293,82.59121951,83.09609756,83.33195122,83.58780488,83.79390244,83.98487805,84.0997561,84.21097561,84.35634146,..
Japan,JPN,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,84.31333923,80.05626678,79.1594162,82.70552826,84.44812775,82.13881683,84.8432312,91.52937317,88.09105682,90.47663116,87.67465973,..,81.12226105,87.94441223,88.68756866,86.82076263,81.01177216,..,89.60054016,89.91771698,..,..,..
Japan,JPN,"School enrollment, primary (% net)",SE.PRM.NENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Japan,JPN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,25159.86493,28380.47253,30472.12858,26778.88612,25421.95077,27591.51279,30072.71041,29752.07061,28346.61518,28269.46234,30966.52367,31701.56785,35088.49548,38087.00586,38608.28904,32497.06594,30650.89208,28059.89251,31406.80256,31222.05226,31783.59112,32481.50892,..
Japan,JPN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.5,7.8,7.7,7.7,8.1,8.4,8.05,8.53,8.53,8.71,9.1,9.1,9.5,9.9,10,10.1,10.1,10.3,10.5,10.8,11,11.1,..
Japan,JPN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Japan,JPN,Gross domestic savings (current US$),NY.GDS.TOTL.CD,1.22315E+12,1.3081E+12,1.4045E+12,1.17145E+12,1.07019E+12,1.15999E+12,1.26977E+12,1.24872E+12,1.18527E+12,1.19095E+12,1.25932E+12,1.14435E+12,1.29723E+12,1.32757E+12,1.30936E+12,1.07621E+12,1.04046E+12,1.03607E+12,1.20157E+12,1.21381E+12,1.2168E+12,..,..
